Date,"( Guekedou, Macenta and Kissidougou","( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",Beyla,Boffa,Conakry,Coyah,Dabola,Dabola and Djingaraye,Dalaba,Dinguiraye,Dubreka,Faranah,Forécariah,Fria,Gueckedou,"Guekedou, Macenta, Nzerekore and Kissidougou",Kankan,Kerouane,Kindia,Kissidougou,Kouroussa,Lola,Macenta,Mali,National,Nzerekore,Pita,Siguiri,Telimele,Tougué,Yomou
2014-03-24,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,
2014-03-25,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,
2014-04-04,,,,,5.0,,,3.0,,,,,,,59.0,,,,,5.0,,,14.0,,86.0,,,,,,
2014-04-07,,,,,6.0,,3.0,,,1.0,,,,,63.0,,,,,6.0,,,16.0,,95.0,,,,,,
2014-04-10,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,
2014-04-11,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,
2014-04-14,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,
2014-04-16,,,,,16.0,,4.0,,,1.0,,,,,80.0,,,,,5.0,,,16.0,,122.0,,,,,,
2014-04-17,,,,,20.0,,4.0,,,1.0,,,,,83.0,,,,,5.0,,,16.0,,129.0,,,,,,
2014-04-20,,,,,23.0,,4.0,,,1.0,,,,,87.0,,,,,5.0,,,16.0,,136.0,,,,,,
2014-04-23,,,,,24.0,,4.0,,,1.0,,,,,91.0,,,,,5.0,,,16.0,,141.0,,,,,,
2014-04-26,,,,,24.0,,4.0,,,1.0,,,,,93.0,,,,,5.0,,,16.0,,143.0,,,,,,
2014-05-01,,,,,24.0,,4.0,,,1.0,,,,,99.0,,,,,5.0,,,16.0,,149.0,,,,,,
2014-05-03,,,,,24.0,,4.0,,,1.0,,,,,105.0,,,,,5.0,,,16.0,,155.0,,,,,,
2014-05-05,,,,,24.0,,4.0,,,1.0,,,,,107.0,,,,,5.0,,,16.0,,157.0,,,,,,
2014-05-07,,,,,24.0,,4.0,,,1.0,,,,,108.0,,,,,5.0,,,16.0,,158.0,,,,,,
2014-05-10,,,,,24.0,,4.0,,,1.0,,,,,106.0,,,,,5.0,,,17.0,,157.0,,,,,,
2014-05-12,,,,,24.0,,4.0,,,4.0,,,,,119.0,,,,,6.0,,,17.0,,171.0,,,,,,
2014-05-23,,,,,25.0,,4.0,,,1.0,,,,,121.0,,,,,6.0,,,17.0,,174.0,,,,,,
2014-05-28,,,,,27.0,,4.0,,,1.0,,,,,133.0,,,,,5.0,,,23.0,,193.0,,,,,,
2014-06-01,,,,2.0,27.0,,4.0,,,1.0,,,,,140.0,,,,,5.0,,,24.0,,193.0,,,,5.0,,
2014-06-03,,,,4.0,27.0,,4.0,,,1.0,,,,,143.0,,,,,5.0,,,26.0,,215.0,,,,5.0,,
2014-06-05,,,,6.0,29.0,,4.0,,,1.0,,,,,146.0,,,,,5.0,1.0,,27.0,,226.0,,,,7.0,,
2014-06-16,,,,10.0,33.0,,4.0,,,1.0,,,,,173.0,,,,,5.0,1.0,,28.0,,264.0,,,,9.0,,
2014-06-18,,,,12.0,33.0,,4.0,,,1.0,,,,,173.0,,,,,5.0,1.0,,28.0,,267.0,,,,10.0,,
2014-06-20,,,,12.0,33.0,,4.0,,,1.0,,,,,177.0,,,,,5.0,1.0,,28.0,,270.0,,,,9.0,,
2014-06-27,,,,15.0,33.0,,4.0,,,1.0,,,,,194.0,,,,,5.0,3.0,,28.0,,293.0,,,,10.0,,
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,303.0,,,,,,
2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,305.0,,,,,,
2014-07-06,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,
2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,309.0,,,,,,
2014-07-12,,,,,,,,,,,,,,,,,,,,,,,,,304.0,,,,,,
2014-07-14,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,
2014-07-17,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,
2014-07-20,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,,,,,
2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,319.0,,,,,,
2014-07-27,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,
2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,358.0,,,,,,
2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,363.0,,,,,,
2014-08-06,,,,,,,,,,,,,,,,,,,,,,,,,367.0,,,,,,
2014-08-09,,,,,,,,,,,,,,,,,,,,,,,,,373.0,,,,,,
2014-08-14,,,,16.0,43.0,,4.0,,,1.0,1.0,,,,255.0,,,,,5.0,4.0,,30.0,,380.0,3.0,3.0,3.0,10.0,,2.0
2014-08-16,,,,16.0,45.0,,4.0,,,1.0,1.0,,,,263.0,,,,,5.0,4.0,,32.0,,394.0,3.0,3.0,3.0,10.0,,2.0
2014-08-19,,,,16.0,45.0,,4.0,,,1.0,1.0,,,,265.0,,,,,5.0,4.0,,37.0,,400.0,3.0,3.0,3.0,10.0,,2.0
2014-08-23,,,,16.0,48.0,,4.0,,,1.0,1.0,,,,267.0,,,,,5.0,4.0,,53.0,,423.0,6.0,3.0,3.0,10.0,,2.0
2014-08-25,,,,16.0,48.0,,4.0,,,1.0,1.0,,,,267.0,,,,,5.0,4.0,,60.0,,430.0,6.0,3.0,3.0,10.0,,2.0
2014-08-26,,,,16.0,48.0,,4.0,,,1.0,1.0,,,,267.0,,,,,5.0,4.0,,63.0,,435.0,6.0,3.0,3.0,10.0,,4.0
2014-08-27,,,,16.0,49.0,,4.0,,,1.0,1.0,,,,268.0,,,,,6.0,4.0,,64.0,,438.0,6.0,3.0,3.0,10.0,,3.0
2014-08-28,,,,16.0,53.0,,4.0,,,1.0,1.0,,2.0,,270.0,,,,,6.0,4.0,,78.0,,460.0,6.0,3.0,3.0,10.0,,3.0
2014-08-29,,,,16.0,55.0,,4.0,,,1.0,2.0,,3.0,,271.0,,,,,6.0,4.0,,80.0,,468.0,6.0,4.0,3.0,10.0,,3.0
2014-08-30,,,,16.0,55.0,,4.0,,,1.0,3.0,,3.0,,279.0,,,,,6.0,4.0,,92.0,,489.0,6.0,4.0,3.0,10.0,,3.0
2014-08-31,,,,16.0,56.0,,4.0,,,1.0,3.0,,3.0,,280.0,,,,,6.0,4.0,,95.0,,494.0,6.0,4.0,3.0,10.0,,3.0
2014-09-01,,,,16.0,56.0,,4.0,,,1.0,3.0,,3.0,,283.0,,,,,6.0,4.0,,99.0,,501.0,6.0,3.0,3.0,10.0,,4.0
2014-09-02,,,,16.0,57.0,,4.0,,,1.0,4.0,,4.0,,284.0,,,,,6.0,4.0,,111.0,,517.0,6.0,3.0,3.0,10.0,,4.0
